root@comp3134-intro-to-cyber-security:~# tcpdump -i eth0 port 22

03:14:15.303183 IP bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 8827940, win 1026, length 0
03:14:15.303245 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8845140:8845528, ack 4969, win 501, length 388
03:14:15.303307 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8845528:8845748, ack 4969, win 501, length 220
03:14:15.303357 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8845748:8845968, ack 4969, win 501, length 220
03:14:15.303408 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8845968:8846188, ack 4969, win 501, length 220
03:14:15.303457 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8846188:8846408, ack 4969, win 501, length 220
03:14:15.303512 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8846408:8846628, ack 4969, win 501, length 220
03:14:15.303564 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8846628:8846848, ack 4969, win 501, length 220
03:14:15.303612 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8846848:8847068, ack 4969, win 501, length 220
03:14:15.303661 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8847068:8847288, ack 4969, win 501, length 220
03:14:15.303712 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8847288:8847508, ack 4969, win 501, length 220
03:14:15.303760 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8847508:8847728, ack 4969, win 501, length 220
03:14:15.303809 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8847728:8847948, ack 4969, win 501, length 220
03:14:15.303857 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8847948:8848168, ack 4969, win 501, length 220
03:14:15.303906 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8848168:8848388, ack 4969, win 501, length 220
03:14:15.303956 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8848388:8848608, ack 4969, win 501, length 220
03:14:15.304026 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8848608:8848828, ack 4969, win 501, length 220
03:14:15.304074 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8848828:8849048, ack 4969, win 501, length 220
03:14:15.304126 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8849048:8849304, ack 4969, win 501, length 256
03:14:15.304175 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8849304:8849524, ack 4969, win 501, length 220
03:14:15.304223 IP comp3134-intro-to-cyber-security.ssh > bras-base-toroon6128w-grc-45-184-148-29-143.dsl.bell.ca.59515: Flags [P.], seq 8849524:8849744, ack 4969, win 501, length 220
